type,code,name,ISIN,start,market,group,CFI
上櫃認購(售)權證,710004,中美晶元富9B購01,TW20Z7100049,2020/03/18,上櫃,,RWSCCA
上櫃認購(售)權證,710005,中美晶元富9B購02,TW20Z7100056,2020/03/18,上櫃,,RWSCCA
上櫃認購(售)權證,710006,神盾元富9B購01,TW20Z7100064,2020/03/18,上櫃,,RWSCCA
上櫃認購(售)權證,710007,環球晶元富9B購01,TW20Z7100072,2020/03/18,上櫃,,RWSCCA
上櫃認購(售)權證,710008,環球晶元富9B購02,TW20Z7100080,2020/03/18,上櫃,,RWSCCA
上櫃認購(售)權證,710012,大宇資凱基9B購02,TW20Z7100122,2020/03/18,上櫃,,RWSCCA
上櫃認購(售)權證,710028,原相群益9C購02,TW20Z7100288,2020/03/19,上櫃,,RWSCCA
上櫃認購(售)權證,710039,宏捷科富邦9B購02,TW20Z7100395,2020/03/20,上櫃,,RWSCCA
上櫃認購(售)權證,710043,碩禾凱基9B購02,TW20Z7100437,2020/03/20,上櫃,,RWSCCA
上櫃認購(售)權證,710067,原相群益9C購03,TW20Z7100676,2020/03/23,上櫃,,RWSCCA
上櫃認購(售)權證,710075,大江富邦9B購03,TW20Z7100759,2020/03/24,上櫃,,RWSCCA
上櫃認購(售)權證,710076,穩懋富邦9B購03,TW20Z7100767,2020/03/24,上櫃,,RWSCCA
上櫃認購(售)權證,710093,聚積元大9C購01,TW20Z7100932,2020/03/25,上櫃,,RWSCCA
上櫃認購(售)權證,710094,雙美元大9C購01,TW20Z7100940,2020/03/25,上櫃,,RWSCCA
上櫃認購(售)權證,710096,鈺太元大9A購01,TW20Z7100965,2020/03/25,上櫃,,RWSCCA
上櫃認購(售)權證,710097,大學光群益9A購01,TW20Z7100973,2020/03/25,上櫃,,RWSCCA
上櫃認購(售)權證,710110,信昌電富邦9C購01,TW20Z7101104,2020/03/25,上櫃,,RWSCCA
上櫃認購(售)權證,710133,宏捷科國泰9B購02,TW20Z7101336,2020/03/26,上櫃,,RWSCCA
上櫃認購(售)權證,710134,環球晶國泰9A購03,TW20Z7101344,2020/03/26,上櫃,,RWSCCA
上櫃認購(售)權證,710135,穩懋國泰9A購02,TW20Z7101351,2020/03/26,上櫃,,RWSCCA
上櫃認購(售)權證,710136,大江元大9A購01,TW20Z7101369,2020/03/26,上櫃,,RWSCCA
上櫃認購(售)權證,710137,原相元大9B購01,TW20Z7101377,2020/03/26,上櫃,,RWSCCA
上櫃認購(售)權證,710144,鈊象元大9A購01,TW20Z7101443,2020/03/26,上櫃,,RWSCCA
上櫃認購(售)權證,710150,M31凱基9A購01,TW20Z7101500,2020/03/26,上櫃,,RWSCCA
上櫃認購(售)權證,710152,中美晶凱基9A購03,TW20Z7101526,2020/03/26,上櫃,,RWSCCA
上櫃認購(售)權證,710153,威剛凱基9A購03,TW20Z7101534,2020/03/26,上櫃,,RWSCCA
上櫃認購(售)權證,710154,原相凱基9A購02,TW20Z7101542,2020/03/26,上櫃,,RWSCCA
上櫃認購(售)權證,710155,群聯凱基9A購02,TW20Z7101559,2020/03/26,上櫃,,RWSCCA
上櫃認購(售)權證,710156,精測凱基9A購01,TW20Z7101567,2020/03/26,上櫃,,RWSCCA
上櫃認購(售)權證,710157,優群凱基9A購03,TW20Z7101575,2020/03/26,上櫃,,RWSCCA
上櫃認購(售)權證,710158,環球晶凱基9A購01,TW20Z7101583,2020/03/26,上櫃,,RWSCCA
上櫃認購(售)權證,710159,雙美凱基9A購01,TW20Z7101591,2020/03/26,上櫃,,RWSCCA
上櫃認購(售)權證,710160,穩懋凱基9A購01,TW20Z7101609,2020/03/26,上櫃,,RWSCCA
上櫃認購(售)權證,710161,鈊象凱基9A購02,TW20Z7101617,2020/03/26,上櫃,,RWSCCA
