type,code,name,ISIN,start,market,group,CFI
上市認購(售)權證,059087,台積電元大99購26,TW20Z0590873,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059088,台積電元大99購27,TW20Z0590881,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059089,聯發科元大99購19,TW20Z0590899,2020/03/16,上市,,RWSCCA
上市認購(售)權證,05908P,大立光元富96售05,TW19Z05908P3,2019/12/23,上市,,RWSCPE
上市認購(售)權證,059090,台新金元大99購01,TW20Z0590907,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059091,中信金元大99購01,TW20Z0590915,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059092,聯陽元大99購01,TW20Z0590923,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059093,旭富元大99購01,TW20Z0590931,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059094,臻鼎元大99購03,TW20Z0590949,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059095,訊芯元大99購01,TW20Z0590956,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059096,百和元大99購04,TW20Z0590964,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059097,世紀鋼元大99購05,TW20Z0590972,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059098,元油2X統一9B購03,TW20Z0590980,2020/03/16,上市,,RWBCCA
上市認購(售)權證,059099,元油2X統一9C購01,TW20Z0590998,2020/03/16,上市,,RWBCCA
上市認購(售)權證,05909P,康友元富96售02,TW19Z05909P1,2019/12/23,上市,,RWSCPE
上市認購(售)權證,059100,元油2X統一9C購02,TW20Z0591004,2020/03/16,上市,,RWBCCA
上市認購(售)權證,059101,康控統一9A購01,TW20Z0591012,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059102,聯鈞元富99購01,TW20Z0591020,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059103,旭富元富99購03,TW20Z0591038,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059104,臺股指元富99購05,TW20Z0591046,2020/03/16,上市,,RWICCE
上市認購(售)權證,059105,臺股指元富99購06,TW20Z0591053,2020/03/16,上市,,RWICCE
上市認購(售)權證,059106,臺股指元富99購07,TW20Z0591061,2020/03/16,上市,,RWICCE
上市認購(售)權證,059107,南茂國泰9A購01,TW20Z0591079,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059108,台灣50富邦9B購01,TW20Z0591087,2020/03/16,上市,,RWBCCA
上市認購(售)權證,059109,台積電富邦9C購03,TW20Z0591095,2020/03/16,上市,,RWSCCA
上市認購(售)權證,05910P,力山永豐96售02,TW19Z05910P9,2019/12/23,上市,,RWSCPE
上市認購(售)權證,059110,元油2X永豐99購02,TW20Z0591103,2020/03/16,上市,,RWBCCA
上市認購(售)權證,059111,元油2X永豐99購03,TW20Z0591111,2020/03/16,上市,,RWBCCA
上市認購(售)權證,059112,上銀永豐99購01,TW20Z0591129,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059113,群光永豐99購01,TW20Z0591137,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059114,華新科永豐99購05,TW20Z0591145,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059115,美食永豐99購01,TW20Z0591152,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059116,晶豪科永豐99購01,TW20Z0591160,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059117,禾伸堂永豐99購01,TW20Z0591178,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059118,晶技永豐9A購01,TW20Z0591186,2020/03/16,上市,,RWSCCA
